example_id                                                            | status | run_time        |
./spec/use_cases/generate_flux_manifests_spec.rb[1:2:5:2]             | passed | 0.0004 seconds  |
./spec/use_cases/generate_flux_manifests_spec.rb[1:3:1]               | passed | 0.0003 seconds  |
./spec/use_cases/generate_flux_manifests_spec.rb[1:3:2]               | passed | 0.00034 seconds |
./spec/use_cases/generate_flux_manifests_spec.rb[1:3:3]               | passed | 0.00037 seconds |
./spec/use_cases/generate_flux_manifests_spec.rb[1:3:4]               | passed | 0.00042 seconds |
./spec/use_cases/generate_flux_manifests_spec.rb[1:3:5]               | passed | 0.00037 seconds |
./spec/use_cases/generate_flux_manifests_spec.rb[1:4:1]               | passed | 0.00013 seconds |
./spec/use_cases/generate_flux_manifests_spec.rb[1:5:1:1]             | passed | 0.00065 seconds |
./spec/use_cases/generate_flux_manifests_spec.rb[1:5:2:1]             | passed | 0.00066 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:1:1]    | passed | 0.0001 seconds  |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:2:1]    | passed | 0.00052 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:2:2]    | passed | 0.00043 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:2:3]    | passed | 0.00042 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:2:4]    | passed | 0.00042 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:2:5:1]  | passed | 0.00068 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:3:1]    | passed | 0.00047 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:3:2]    | passed | 0.00044 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:4:1]    | passed | 0.00039 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:4:2]    | passed | 0.00017 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:4:3]    | passed | 0.00023 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:5:1:1]  | passed | 0.00009 seconds |
./spec/use_cases/generate_flux_system_kustomization_spec.rb[1:6:1:1]  | passed | 0.0005 seconds  |
